,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1112,2,2,2013-01-01,0,0,0,0,a,1
2227,2,3,2013-01-02,4422,650,1,0,0,1
3342,2,4,2013-01-03,4159,555,1,0,0,1
4457,2,5,2013-01-04,4484,574,1,0,0,1
5572,2,6,2013-01-05,2342,324,1,0,0,0
6687,2,7,2013-01-06,0,0,0,0,0,0
7802,2,1,2013-01-07,6775,763,1,1,0,0
8917,2,2,2013-01-08,6318,685,1,1,0,0
10032,2,3,2013-01-09,6763,785,1,1,0,0
11147,2,4,2013-01-10,5618,637,1,1,0,0
12262,2,5,2013-01-11,4810,539,1,1,0,0
13377,2,6,2013-01-12,2630,337,1,0,0,0
14492,2,7,2013-01-13,0,0,0,0,0,0
15607,2,1,2013-01-14,3995,530,1,0,0,0
16722,2,2,2013-01-15,4075,513,1,0,0,0
17837,2,3,2013-01-16,4198,591,1,0,0,0
18952,2,4,2013-01-17,2973,403,1,0,0,0
20067,2,5,2013-01-18,3441,434,1,0,0,0
21182,2,6,2013-01-19,2399,303,1,0,0,0
22297,2,7,2013-01-20,0,0,0,0,0,0
23412,2,1,2013-01-21,6311,662,1,1,0,0
24527,2,2,2013-01-22,5803,656,1,1,0,0
25642,2,3,2013-01-23,5974,690,1,1,0,0
26757,2,4,2013-01-24,5091,582,1,1,0,0
27872,2,5,2013-01-25,4589,522,1,1,0,0
28987,2,6,2013-01-26,2205,303,1,0,0,0
30102,2,7,2013-01-27,0,0,0,0,0,0
31217,2,1,2013-01-28,3549,488,1,0,0,0
32332,2,2,2013-01-29,3461,476,1,0,0,0
33447,2,3,2013-01-30,4446,608,1,0,0,0
34562,2,4,2013-01-31,4340,517,1,0,0,0
35677,2,5,2013-02-01,4545,554,1,0,0,0
36792,2,6,2013-02-02,2956,361,1,0,0,0
37907,2,7,2013-02-03,0,0,0,0,0,0
39022,2,1,2013-02-04,6480,688,1,1,0,0
40137,2,2,2013-02-05,6269,674,1,1,0,0
41252,2,3,2013-02-06,6438,769,1,1,0,0
42367,2,4,2013-02-07,5575,638,1,1,0,0
43482,2,5,2013-02-08,4203,491,1,1,0,0
44597,2,6,2013-02-09,3031,354,1,0,0,0
45712,2,7,2013-02-10,0,0,0,0,0,0
46827,2,1,2013-02-11,4303,582,1,0,0,0
47942,2,2,2013-02-12,3968,504,1,0,0,0
49057,2,3,2013-02-13,5001,678,1,0,0,0
50172,2,4,2013-02-14,4439,574,1,0,0,0
51287,2,5,2013-02-15,3812,494,1,0,0,0
52402,2,6,2013-02-16,2401,290,1,0,0,0
53517,2,7,2013-02-17,0,0,0,0,0,0
54632,2,1,2013-02-18,7493,757,1,1,0,1
55747,2,2,2013-02-19,5734,588,1,1,0,1
56862,2,3,2013-02-20,6116,689,1,1,0,1
57977,2,4,2013-02-21,5276,589,1,1,0,1
59092,2,5,2013-02-22,4552,509,1,1,0,1
